,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist (India Remote),₹3L - ₹10L (Glassdoor Est.),"Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

As a machine learning engineer, you should demonstrate solid data science knowledge and experience.

A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.
Responsibilities
Consulting with the manager to determine and refine machine learning objectives.


Show More
Report",3.4,"Token Metrics
3.4",Bangalore,-1,-1,2019,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,-1
1,Data Scientist (India Remote),₹3L - ₹10L (Glassdoor Est.),"Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

As a machine learning engineer, you should demonstrate solid data science knowledge and experience.

A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.
Responsibilities
Consulting with the manager to determine and refine machine learning objectives.


Show More
Report",3.4,"Token Metrics
3.4",Bangalore,-1,-1,2019,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,-1
2,Data Scientist,₹4L - ₹8L (Glassdoor Est.),"The adidas Digital Data Science team is looking for talents. We are passionate about data and algorithms lifting insights and actions hidden in large data sets. We work on a variety of use cases, from forecasting to product recommendations, from pricing to allocation. We help our digital customers, managers, business analysts – everyone – to benefit from their data and drive their strategic and day-to-day decision making.
Digital is the top rising channel within adidas with a high strategic importance. If you want to make an impact – this is the place for you as many of our projects directly target our #1 store which has millions of visitors every day. This dynamic environment is the ideal playing field to experiment and to pursue your own ideas.
Our team is diverse, inclusive, and friendly and we have a casual working culture. We offer outstanding possibilities for personal development, a unique learning culture and have an active community of data scientists, who are happy to help each other. Bet, you will love our world-class on-site sports facilities – at adidas every day is game day!


Show More
Report",3.9,"Adidas
3.9",Gurgaon,-1,-1,1949,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),-1
3,JUNIOR DATA SCIENTIST,-1,"BRIEF DESCRIPTION
We are looking for 3-4 years experienced Data Scientist
Job Description
Deliver components of digital business initiatives that identify, design, and implement technology solutions based on AA/ML.
Deliver Machine learning models which can be leveraged to improve the overall efficiency and efficacy of processes
Advanced analytics models encompassing all domains: descriptive, predictive and prescriptive models.
Capturing and tracking functional requirements from business functions
Show More
Report",4.3,"Reflections Info Systems
4.3",Thiruvananthapuram,-1,-1,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
4,JUNIOR DATA SCIENTIST,-1,"BRIEF DESCRIPTION
We are looking for 3-4 years experienced Data Scientist
Job Description
Deliver components of digital business initiatives that identify, design, and implement technology solutions based on AA/ML.
Deliver Machine learning models which can be leveraged to improve the overall efficiency and efficacy of processes
Advanced analytics models encompassing all domains: descriptive, predictive and prescriptive models.
Capturing and tracking functional requirements from business functions
Show More
Report",4.3,"Reflections Info Systems
4.3",Thiruvananthapuram,-1,-1,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
